vector_row,movieId,title
0,1,Toy Story
1,2,Jumanji
2,3,Grumpier Old Men
3,4,Waiting to Exhale
4,5,Father of the Bride Part II
5,6,Heat
6,7,Sabrina
7,8,Tom and Huck
8,9,Sudden Death
9,10,GoldenEye
10,11,"American President, The"
11,12,Dracula: Dead and Loving It
12,13,Balto
13,14,Nixon
14,15,Cutthroat Island
15,16,Casino
16,17,Sense and Sensibility
17,18,Four Rooms
18,19,Ace Ventura: When Nature Calls
19,20,Money Train
20,21,Get Shorty
21,22,Copycat
22,23,Assassins
23,24,Powder
24,25,Leaving Las Vegas
25,26,Othello
26,27,Now and Then
27,28,Persuasion
28,29,"City of Lost Children, The (Cité des enfants perdus, La)"
29,30,Shanghai Triad (Yao a yao yao dao waipo qiao)
30,31,Dangerous Minds
31,32,Twelve Monkeys (a.k.a. 12 Monkeys)
32,34,Babe
33,36,Dead Man Walking
34,38,It Takes Two
35,39,Clueless
36,40,"Cry, the Beloved Country"
37,41,Richard III
38,42,Dead Presidents
39,43,Restoration
40,44,Mortal Kombat
41,45,To Die For
42,46,How to Make an American Quilt
43,47,Seven (a.k.a. Se7en)
44,48,Pocahontas
45,49,When Night Is Falling
46,50,"Usual Suspects, The"
47,52,Mighty Aphrodite
48,53,Lamerica
49,54,"Big Green, The"
50,55,Georgia
51,57,Home for the Holidays
52,58,"Postman, The (Postino, Il)"
53,60,"Indian in the Cupboard, The"
54,61,Eye for an Eye
55,62,Mr. Holland's Opus
56,63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood
57,64,Two if by Sea
58,65,Bio-Dome
59,66,Lawnmower Man 2: Beyond Cyberspace
60,68,French Twist (Gazon maudit)
61,69,Friday
62,70,From Dusk Till Dawn
63,71,Fair Game
64,72,Kicking and Screaming
65,73,"Misérables, Les"
66,74,Bed of Roses
67,75,Big Bully
68,76,Screamers
69,77,Nico Icon
70,78,"Crossing Guard, The"
71,79,"Juror, The"
72,80,"White Balloon, The (Badkonake sefid)"
73,81,Things to Do in Denver When You're Dead
74,82,Antonia's Line (Antonia)
75,83,Once Upon a Time... When We Were Colored
76,85,Angels and Insects
77,86,White Squall
78,87,Dunston Checks In
79,88,Black Sheep
