movieId,title,combined_features
1,Toy Story,adventure animation children comedy fantasy adventure animation children comedy fantasy pixar pixar fun 
2,Jumanji,adventure children fantasy adventure children fantasy fantasy magic board game robin williams game 
3,Grumpier Old Men,comedy romance comedy romance moldy old 
4,Waiting to Exhale,comedy drama romance comedy drama romance  
5,Father of the Bride Part II,comedy comedy pregnancy remake 
6,Heat,action crime thriller action crime thriller  
7,Sabrina,comedy romance comedy romance remake 
8,Tom and Huck,adventure children adventure children  
9,Sudden Death,action action  
10,GoldenEye,action adventure thriller action adventure thriller  
11,"American President, The",comedy drama romance comedy drama romance politics president 
12,Dracula: Dead and Loving It,comedy horror comedy horror  
13,Balto,adventure animation children adventure animation children  
14,Nixon,drama drama politics president 
15,Cutthroat Island,action adventure romance action adventure romance  
16,Casino,crime drama crime drama mafia 
17,Sense and Sensibility,drama romance drama romance jane austen 
18,Four Rooms,comedy comedy  
19,Ace Ventura: When Nature Calls,comedy comedy  
20,Money Train,action comedy crime drama thriller action comedy crime drama thriller  
21,Get Shorty,comedy crime thriller comedy crime thriller hollywood 
22,Copycat,crime drama horror mystery thriller crime drama horror mystery thriller serial killer 
23,Assassins,action crime thriller action crime thriller  
24,Powder,drama sci-fi drama sci-fi  
25,Leaving Las Vegas,drama romance drama romance alcoholism 
26,Othello,drama drama shakespeare 
27,Now and Then,children drama children drama  
28,Persuasion,drama romance drama romance in netflix queue jane austen 
29,"City of Lost Children, The (Cité des enfants perdus, La)",adventure drama fantasy mystery sci-fi adventure drama fantasy mystery sci-fi kidnapping 
30,Shanghai Triad (Yao a yao yao dao waipo qiao),crime drama crime drama  
31,Dangerous Minds,drama drama high school teacher 
32,Twelve Monkeys (a.k.a. 12 Monkeys),mystery sci-fi thriller mystery sci-fi thriller time travel time travel brad pitt bruce willis mindfuck post apocalyptic post-apocalyptic remake time travel twist ending 
34,Babe,children drama children drama animal movie pigs villain nonexistent or not needed for good story 
36,Dead Man Walking,crime drama crime drama death penalty nun 
38,It Takes Two,children comedy children comedy twins 
39,Clueless,comedy romance comedy romance chick flick funny paul rudd quotable seen more than once emma jane austen 
40,"Cry, the Beloved Country",drama drama in netflix queue south africa 
41,Richard III,drama war drama war shakespeare 
42,Dead Presidents,action crime drama action crime drama  
43,Restoration,drama drama england 
44,Mortal Kombat,action adventure fantasy action adventure fantasy  
45,To Die For,comedy drama thriller comedy drama thriller journalism 
46,How to Make an American Quilt,drama romance drama romance wedding 
47,Seven (a.k.a. Se7en),mystery thriller mystery thriller mystery twist ending serial killer 
48,Pocahontas,animation children drama musical romance animation children drama musical romance  
49,When Night Is Falling,drama romance drama romance  
50,"Usual Suspects, The",crime mystery thriller crime mystery thriller mindfuck suspense thriller tricky twist ending heist 
52,Mighty Aphrodite,comedy drama romance comedy drama romance adoption prostitution 
53,Lamerica,adventure drama adventure drama  
54,"Big Green, The",children comedy children comedy  
55,Georgia,drama drama  
57,Home for the Holidays,drama drama  
58,"Postman, The (Postino, Il)",comedy drama romance comedy drama romance writing 
60,"Indian in the Cupboard, The",adventure children fantasy adventure children fantasy  
61,Eye for an Eye,drama thriller drama thriller  
62,Mr. Holland's Opus,drama drama music 
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,comedy crime comedy crime  
64,Two if by Sea,comedy romance comedy romance  
65,Bio-Dome,comedy comedy  
66,Lawnmower Man 2: Beyond Cyberspace,action sci-fi thriller action sci-fi thriller  
68,French Twist (Gazon maudit),comedy romance comedy romance  
69,Friday,comedy comedy  
70,From Dusk Till Dawn,action comedy horror thriller action comedy horror thriller  
71,Fair Game,action action  
72,Kicking and Screaming,comedy drama comedy drama  
73,"Misérables, Les",drama war drama war  
74,Bed of Roses,drama romance drama romance  
75,Big Bully,comedy drama comedy drama  
76,Screamers,action sci-fi thriller action sci-fi thriller  
77,Nico Icon,documentary documentary  
78,"Crossing Guard, The",action crime drama thriller action crime drama thriller  
79,"Juror, The",drama thriller drama thriller  
80,"White Balloon, The (Badkonake sefid)",children drama children drama  
81,Things to Do in Denver When You're Dead,crime drama romance crime drama romance  
82,Antonia's Line (Antonia),comedy drama comedy drama  
83,Once Upon a Time... When We Were Colored,drama romance drama romance  
85,Angels and Insects,drama romance drama romance  
86,White Squall,action adventure drama action adventure drama  
87,Dunston Checks In,children comedy children comedy  
88,Black Sheep,comedy comedy  
89,Nick of Time,action thriller action thriller  
92,Mary Reilly,drama horror thriller drama horror thriller jekyll and hyde 
93,Vampire in Brooklyn,comedy horror romance comedy horror romance  
94,Beautiful Girls,comedy drama romance comedy drama romance  
95,Broken Arrow,action adventure thriller action adventure thriller  
96,In the Bleak Midwinter,comedy drama comedy drama theater 
97,"Hate (Haine, La)",crime drama crime drama  
99,Heidi Fleiss: Hollywood Madam,documentary documentary  
100,City Hall,drama thriller drama thriller  
101,Bottle Rocket,adventure comedy crime romance adventure comedy crime romance crime off-beat comedy quirky 
102,Mr. Wrong,comedy comedy  
103,Unforgettable,mystery sci-fi thriller mystery sci-fi thriller  
104,Happy Gilmore,comedy comedy test tag golf adam sandler 
105,"Bridges of Madison County, The",drama romance drama romance  
106,Nobody Loves Me (Keiner liebt mich),comedy drama comedy drama  
107,Muppet Treasure Island,adventure children comedy musical adventure children comedy musical muppets 
108,Catwalk,documentary documentary  
110,Braveheart,action drama war action drama war beautiful scenery epic historical inspirational medieval mel gibson oscar (best cinematography) revenge sword fight scotland 
111,Taxi Driver,crime drama thriller crime drama thriller assassination 
112,Rumble in the Bronx (Hont faan kui),action adventure comedy crime action adventure comedy crime  
113,Before and After,drama mystery drama mystery  
116,Anne Frank Remembered,documentary documentary holocaust 
117,"Young Poisoner's Handbook, The",crime drama crime drama  
118,If Lucy Fell,comedy romance comedy romance  
119,"Steal Big, Steal Little",comedy comedy  
121,"Boys of St. Vincent, The",drama drama  
122,Boomerang,comedy romance comedy romance dating 
123,Chungking Express (Chung Hing sam lam),drama mystery romance drama mystery romance  
125,Flirting With Disaster,comedy comedy  
126,"NeverEnding Story III, The",adventure children fantasy adventure children fantasy  
128,Jupiter's Wife,documentary documentary  
129,Pie in the Sky,comedy romance comedy romance  
132,Jade,thriller thriller  
135,Down Periscope,comedy comedy  
137,Man of the Year,documentary documentary  
140,Up Close and Personal,drama romance drama romance journalism 
141,"Birdcage, The",comedy comedy  
144,"Brothers McMullen, The",comedy comedy  
145,Bad Boys,action comedy crime drama thriller action comedy crime drama thriller  
146,"Amazing Panda Adventure, The",adventure children adventure children  
147,"Basketball Diaries, The",drama drama addiction heroin leonardo dicaprio mark wahlberg 
148,"Awfully Big Adventure, An",drama drama  
149,Amateur,crime drama thriller crime drama thriller  
150,Apollo 13,adventure drama imax adventure drama imax moon nasa space 
151,Rob Roy,action drama romance war action drama romance war  
152,"Addiction, The",drama horror drama horror  
153,Batman Forever,action adventure comedy crime action adventure comedy crime superhero superhero 
154,Beauty of the Day (Belle de jour),drama drama  
155,Beyond Rangoon,adventure drama war adventure drama war  
156,Blue in the Face,comedy drama comedy drama  
157,Canadian Bacon,comedy war comedy war  
158,Casper,adventure children adventure children  
159,Clockers,crime drama mystery crime drama mystery  
160,Congo,action adventure mystery sci-fi action adventure mystery sci-fi michael crichton 
161,Crimson Tide,drama thriller war drama thriller war submarine 
162,Crumb,documentary documentary in netflix queue 
163,Desperado,action romance western action romance western  
164,Devil in a Blue Dress,crime film-noir mystery thriller crime film-noir mystery thriller  
165,Die Hard: With a Vengeance,action crime thriller action crime thriller  
166,"Doom Generation, The",comedy crime drama comedy crime drama  
168,First Knight,action drama romance action drama romance  
169,Free Willy 2: The Adventure Home,adventure children drama adventure children drama  
170,Hackers,action adventure crime thriller action adventure crime thriller  
171,Jeffrey,comedy drama comedy drama  
172,Johnny Mnemonic,action sci-fi thriller action sci-fi thriller  
173,Judge Dredd,action crime sci-fi action crime sci-fi  
174,Jury Duty,comedy comedy  
175,Kids,drama drama controversial new york city nudity (full frontal) 
176,Living in Oblivion,comedy comedy  
177,Lord of Illusions,horror horror  
178,Love & Human Remains,comedy drama comedy drama  
179,Mad Love,drama romance drama romance  
180,Mallrats,comedy romance comedy romance  
181,Mighty Morphin Power Rangers: The Movie,action children action children  
183,Mute Witness,comedy horror thriller comedy horror thriller  
184,Nadja,drama drama  
185,"Net, The",action crime thriller action crime thriller computers 
186,Nine Months,comedy romance comedy romance  
187,Party Girl,comedy comedy  
188,"Prophecy, The",fantasy horror mystery fantasy horror mystery  
189,Reckless,comedy fantasy comedy fantasy  
190,Safe,thriller thriller  
191,"Scarlet Letter, The",drama romance drama romance  
193,Showgirls,drama drama  
194,Smoke,comedy drama comedy drama  
195,Something to Talk About,comedy drama romance comedy drama romance  
196,Species,horror sci-fi horror sci-fi  
198,Strange Days,action crime drama mystery sci-fi thriller action crime drama mystery sci-fi thriller  
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les)",drama musical romance drama musical romance made me cry 
201,Three Wishes,drama fantasy drama fantasy  
202,Total Eclipse,drama romance drama romance  
203,"To Wong Foo, Thanks for Everything! Julie Newmar",comedy comedy  
204,Under Siege 2: Dark Territory,action action  
205,Unstrung Heroes,comedy drama comedy drama  
206,Unzipped,documentary documentary  
207,"Walk in the Clouds, A",drama romance drama romance  
208,Waterworld,action adventure sci-fi action adventure sci-fi  
209,White Man's Burden,drama drama  
210,Wild Bill,western western  
211,"Browning Version, The",drama drama  
212,Bushwhacked,adventure comedy crime mystery adventure comedy crime mystery  
213,Burnt by the Sun (Utomlyonnye solntsem),drama drama  
214,Before the Rain (Pred dozhdot),drama war drama war  
215,Before Sunrise,drama romance drama romance generation x 
216,Billy Madison,comedy comedy school adam sandler stop looking at me swan 
217,"Babysitter, The",drama thriller drama thriller  
218,Boys on the Side,comedy drama comedy drama  
219,"Cure, The",drama drama  
220,Castle Freak,horror horror  
222,Circle of Friends,drama romance drama romance ireland 
223,Clerks,comedy comedy cynical hilarious independent film quirky witty generation x 
224,Don Juan DeMarco,comedy drama romance comedy drama romance mental illness psychology 
225,Disclosure,drama thriller drama thriller  
227,Drop Zone,action thriller action thriller  
228,Destiny Turns on the Radio,comedy comedy  
229,Death and the Maiden,drama thriller drama thriller  
230,Dolores Claiborne,drama thriller drama thriller stephen king 
231,Dumb & Dumber (Dumb and Dumber),adventure comedy adventure comedy  
232,Eat Drink Man Woman (Yin shi nan nu),comedy drama romance comedy drama romance in netflix queue 
233,Exotica,drama drama  
234,Exit to Eden,comedy comedy  
